Problem ID,Problem Name,Status,Comment,Rating,Contest Name,Contest Date,Problem Link,Platform,Check,Contest Link,Last Edit
1002A1,Generate superposition of all basis states,Later,,800,Microsoft Q# Coding Contest - Summer 2018,"July 6, 2018",https://codeforces.com/contest/1002/problem/A1,Codeforces,No,https://codeforces.com/contest/1002,"May 27, 2022 11:50 AM"
1003A,Polycarp's Pockets,Done,Simple,800,Codeforces Round #494 (Div. 3),"July 3, 2018",https://codeforces.com/contest/1003/problem/A,Codeforces,No,https://codeforces.com/contest/1003,"April 13, 2022 4:15 PM"
1005A,Tanya and Stairways,Done,Simple,800,Codeforces Round #496 (Div. 3),"July 9, 2018",https://codeforces.com/contest/1005/problem/A,Codeforces,No,https://codeforces.com/contest/1005,"April 13, 2022 4:15 PM"
1006A,Adjacent Replacements,Done,Simple,800,Codeforces Round #498 (Div. 3),"July 16, 2018",https://codeforces.com/contest/1006/problem/A,Codeforces,No,https://codeforces.com/contest/1006,"April 13, 2022 4:15 PM"
1009A,Game Shopping,Done,Simple,800,Educational Codeforces Round 47 (Rated for Div. 2),"July 14, 2018",https://codeforces.com/contest/1009/problem/A,Codeforces,No,https://codeforces.com/contest/1009,"April 13, 2022 4:15 PM"
1013A,Piles With Stones,Done,Simple,800,Codeforces Round #500 (Div. 2) [based on EJOI],"July 30, 2018",https://codeforces.com/contest/1013/problem/A,Codeforces,No,https://codeforces.com/contest/1013,"April 13, 2022 4:15 PM"
1015A,Points in Segments,Review,,800,Codeforces Round #501 (Div. 3),"July 31, 2018",https://codeforces.com/contest/1015/problem/A,Codeforces,No,https://codeforces.com/contest/1015,"April 8, 2022 9:29 PM"
1017A,The Rank,Done,Simple,800,"Codeforces Round #502 (in memory of Leopoldo Taravilse, Div. 1 + Div. 2)","August 8, 2018",https://codeforces.com/contest/1017/problem/A,Codeforces,No,https://codeforces.com/contest/1017,"April 13, 2022 4:15 PM"
1028A,Find Square,Done,Simple,800,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)","August 27, 2018",https://codeforces.com/contest/1028/problem/A,Codeforces,No,https://codeforces.com/contest/1028,"April 13, 2022 4:15 PM"
1030A,In Search of an Easy Problem,Done,Simple,800,Technocup 2019 - Elimination Round 1,"September 23, 2018",https://codeforces.com/contest/1030/problem/A,Codeforces,No,https://codeforces.com/contest/1030,"April 13, 2022 4:15 PM"
1031A,Golden Plate,Done,Simple,800,Technocup 2019 - Elimination Round 2,"October 21, 2018",https://codeforces.com/contest/1031/problem/A,Codeforces,No,https://codeforces.com/contest/1031,"April 13, 2022 4:15 PM"
1038A,Equality,Done,Simple,800,Codeforces Round #508 (Div. 2),"September 6, 2018",https://codeforces.com/contest/1038/problem/A,Codeforces,No,https://codeforces.com/contest/1038,"April 13, 2022 4:15 PM"
1041A,Heist,Done,Simple,800,Codeforces Round #509 (Div. 2),"September 16, 2018",https://codeforces.com/contest/1041/problem/A,Codeforces,No,https://codeforces.com/contest/1041,"April 13, 2022 4:15 PM"
1043A,Elections,Review,,800,Codeforces Round #519 by Botan Investments,"October 28, 2018",https://codeforces.com/contest/1043/problem/A,Codeforces,No,https://codeforces.com/contest/1043,"April 9, 2022 12:49 AM"
1047A,Little C Loves 3 I,Done,Simple,800,Codeforces Round #511 (Div. 2),"September 21, 2018",https://codeforces.com/contest/1047/problem/A,Codeforces,No,https://codeforces.com/contest/1047,"April 13, 2022 4:15 PM"
104A,Blackjack,Done,Simple,800,Codeforces Beta Round #80 (Div. 2 Only),"August 7, 2011",https://codeforces.com/contest/104/problem/A,Codeforces,No,https://codeforces.com/contest/104,"April 13, 2022 4:14 PM"
1054A,Elevator or Stairs?,Done,Simple,800,Mail.Ru Cup 2018 Round 1,"October 18, 2018",https://codeforces.com/contest/1054/problem/A,Codeforces,No,https://codeforces.com/contest/1054,"April 13, 2022 4:15 PM"
1056A,Determine Line,Done,Simple,800,Mail.Ru Cup 2018 Round 3,"November 25, 2018",https://codeforces.com/contest/1056/problem/A,Codeforces,No,https://codeforces.com/contest/1056,"April 13, 2022 4:15 PM"
1060A,Phone Numbers,Review,,800,"Codeforces Round #513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)","October 4, 2018",https://codeforces.com/contest/1060/problem/A,Codeforces,No,https://codeforces.com/contest/1060,"April 8, 2022 10:12 PM"
1061A,Coins,Done,Simple,800,Codeforces Round #523 (Div. 2),"November 22, 2018",https://codeforces.com/contest/1061/problem/A,Codeforces,No,https://codeforces.com/contest/1061,"April 13, 2022 4:15 PM"
1064A,Make a triangle!,Done,Simple,800,"Codeforces Round #516 (Div. 2, by Moscow Team Olympiad)","October 14, 2018",https://codeforces.com/contest/1064/problem/A,Codeforces,No,https://codeforces.com/contest/1064,"April 13, 2022 4:15 PM"
1065A,Vasya and Chocolate,Done,Simple,800,Educational Codeforces Round 52 (Rated for Div. 2),"October 11, 2018",https://codeforces.com/contest/1065/problem/A,Codeforces,No,https://codeforces.com/contest/1065,"April 13, 2022 4:15 PM"
1075A,The King's Race,Done,Simple,800,Lyft Level 5 Challenge 2018 - Final Round (Open Div. 2),"November 5, 2018",https://codeforces.com/contest/1075/problem/A,Codeforces,No,https://codeforces.com/contest/1075,"April 13, 2022 4:15 PM"
1077A,Frog Jumping,Done,Simple,800,Codeforces Round #521 (Div. 3),"November 16, 2018",https://codeforces.com/contest/1077/problem/A,Codeforces,No,https://codeforces.com/contest/1077,"April 13, 2022 4:15 PM"
1080A,Petya and Origami,Done,Simple,800,Codeforces Round #524 (Div. 2),"November 24, 2018",https://codeforces.com/contest/1080/problem/A,Codeforces,No,https://codeforces.com/contest/1080,"April 13, 2022 4:15 PM"
1081A,Definite Game,Done,Simple,800,Avito Cool Challenge 2018,"December 16, 2018",https://codeforces.com/contest/1081/problem/A,Codeforces,No,https://codeforces.com/contest/1081,"April 13, 2022 4:15 PM"
1085A,Right-Left Cipher,Done,Simple,800,Technocup 2019 - Elimination Round 4,"December 23, 2018",https://codeforces.com/contest/1085/problem/A,Codeforces,No,https://codeforces.com/contest/1085,"April 13, 2022 4:15 PM"
1088A,Ehab and another construction problem,Done,Simple,800,Codeforces Round #525 (Div. 2),"December 4, 2018",https://codeforces.com/contest/1088/problem/A,Codeforces,No,https://codeforces.com/contest/1088,"April 13, 2022 4:15 PM"
1091A,New Year and the Christmas Ornament,Done,Simple,800,Good Bye 2018,"December 30, 2018",https://codeforces.com/contest/1091/problem/A,Codeforces,No,https://codeforces.com/contest/1091,"April 13, 2022 4:15 PM"
1092A,Uniform String,Done,Simple,800,Codeforces Round #527 (Div. 3),"December 18, 2018",https://codeforces.com/contest/1092/problem/A,Codeforces,No,https://codeforces.com/contest/1092,"April 13, 2022 4:15 PM"
1092B,Teams Forming,Done,Simple,800,Codeforces Round #527 (Div. 3),"December 18, 2018",https://codeforces.com/contest/1092/problem/B,Codeforces,No,https://codeforces.com/contest/1092,"April 13, 2022 4:15 PM"
1093A,Dice Rolling,Done,Simple,800,Educational Codeforces Round 56 (Rated for Div. 2),"December 15, 2018",https://codeforces.com/contest/1093/problem/A,Codeforces,No,https://codeforces.com/contest/1093,"April 13, 2022 4:15 PM"
