Platform,Problem ID,Problem Name,Rating,Status,Problem Link,Contest Name,Contest Date,Contest Link,Tags,Last Edit
Codeforces,1702G2,Passable Paths (hard version),2000,,https://codeforces.com/contest/1702/problem/G2,Codeforces Round #805 (Div. 3),2022-07-10,https://codeforces.com/contest/1702,"data structures, dfs and similar, trees",
Codeforces,1702G1,Passable Paths (easy version),1900,,https://codeforces.com/contest/1702/problem/G1,Codeforces Round #805 (Div. 3),2022-07-10,https://codeforces.com/contest/1702,"dfs and similar, trees",
Codeforces,1702F,Equate Multisets,1700,,https://codeforces.com/contest/1702/problem/F,Codeforces Round #805 (Div. 3),2022-07-10,https://codeforces.com/contest/1702,"constructive algorithms, data structures, greedy, math, number theory",
Codeforces,1702E,Split Into Two Sets,1600,,https://codeforces.com/contest/1702/problem/E,Codeforces Round #805 (Div. 3),2022-07-10,https://codeforces.com/contest/1702,"dfs and similar, graphs",
Codeforces,1702D,Not a Cheap String,1000,,https://codeforces.com/contest/1702/problem/D,Codeforces Round #805 (Div. 3),2022-07-10,https://codeforces.com/contest/1702,greedy,
Codeforces,1702C,Train and Queries,1100,,https://codeforces.com/contest/1702/problem/C,Codeforces Round #805 (Div. 3),2022-07-10,https://codeforces.com/contest/1702,"data structures, greedy",
Codeforces,1702B,Polycarp Writes a String from Memory,800,,https://codeforces.com/contest/1702/problem/B,Codeforces Round #805 (Div. 3),2022-07-10,https://codeforces.com/contest/1702,greedy,
Codeforces,1702A,Round Down the Price,800,,https://codeforces.com/contest/1702/problem/A,Codeforces Round #805 (Div. 3),2022-07-10,https://codeforces.com/contest/1702,constructive algorithms,
Codeforces,1701F,Points,2500,,https://codeforces.com/contest/1701/problem/F,Educational Codeforces Round 131 (Rated for Div. 2),2022-07-08,https://codeforces.com/contest/1701,"combinatorics, data structures, implementation, math, matrices",
Codeforces,1701E,Text Editor,2500,,https://codeforces.com/contest/1701/problem/E,Educational Codeforces Round 131 (Rated for Div. 2),2022-07-08,https://codeforces.com/contest/1701,"brute force, dp, greedy, strings",
